Group|Questionnaire|Project|Type|Source|Count
Hospital del Mar|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Caso|perf|1
Hospital del Mar|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|perf|1
Hospital del Mar|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Caso|answers|1
Hospital del Mar|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|answers|1
Hospital 12 de Octubre|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Caso|perf|1
Hospital 12 de Octubre|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|perf|1
Hospital 12 de Octubre|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Caso|answers|1
Hospital 12 de Octubre|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|answers|1
Hospital Clínico Universitario de Salamanca|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Sample?|perf|2
Hospital Clínico Universitario de Salamanca|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|perf|2
Hospital Clínico Universitario de Salamanca|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Sample?|answers|2
Hospital Clínico Universitario de Salamanca|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|answers|2
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Sample?|perf|248
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Caso|perf|1
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Total|perf|249
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Sample?|answers|248
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Caso|answers|1
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Total|answers|249
Hospital del Mar|Aliquots_SP_New|PanGen-Eu|Caso|perf|3
Hospital del Mar|Aliquots_SP_New|PanGen-Eu|Total|perf|3
Hospital del Mar|Aliquots_SP_New|PanGen-Eu|Caso|answers|3
Hospital del Mar|Aliquots_SP_New|PanGen-Eu|Total|answers|3
Hospital del Mar|Aliquots_SP_New|ISBlaC|Sample?|perf|179
Hospital del Mar|Aliquots_SP_New|ISBlaC|Caso|perf|140
Hospital del Mar|Aliquots_SP_New|ISBlaC|Total|perf|319
Hospital del Mar|Aliquots_SP_New|ISBlaC|Sample?|answers|179
Hospital del Mar|Aliquots_SP_New|ISBlaC|Caso|answers|140
Hospital del Mar|Aliquots_SP_New|ISBlaC|Total|answers|319
Hospital Ramón y Cajal|Aliquots_SP_New|PanGen-Eu|Sample?|perf|20
Hospital Ramón y Cajal|Aliquots_SP_New|PanGen-Eu|Total|perf|20
Hospital Ramón y Cajal|Aliquots_SP_New|PanGen-Eu|Sample?|answers|20
Hospital Ramón y Cajal|Aliquots_SP_New|PanGen-Eu|Total|answers|20
Hospital Clínico Universitario de Salamanca|Aliquots_SP_New|PanGen-Eu|Sample?|perf|38
Hospital Clínico Universitario de Salamanca|Aliquots_SP_New|PanGen-Eu|Total|perf|38
Hospital Clínico Universitario de Salamanca|Aliquots_SP_New|PanGen-Eu|Sample?|answers|38
Hospital Clínico Universitario de Salamanca|Aliquots_SP_New|PanGen-Eu|Total|answers|38
Hospital General Universitario de Elche|Aliquots_SP_New|PanGen-Eu|Sample?|perf|5
Hospital General Universitario de Elche|Aliquots_SP_New|PanGen-Eu|Total|perf|5
Hospital General Universitario de Elche|Aliquots_SP_New|PanGen-Eu|Sample?|answers|5
Hospital General Universitario de Elche|Aliquots_SP_New|PanGen-Eu|Total|answers|5
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Caso|perf|50
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Control|perf|39
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Total|perf|89
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Caso|answers|50
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Control|answers|39
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Total|answers|89
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Caso|perf|62
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Control|perf|27
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Total|perf|89
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Caso|answers|62
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Control|answers|27
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Total|answers|89
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Caso|perf|15
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Control|perf|10
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Total|perf|25
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Caso|answers|15
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Control|answers|10
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Total|answers|25
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Caso|perf|58
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Control|perf|55
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Total|perf|113
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Caso|answers|58
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Control|answers|55
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Total|answers|113
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Caso|perf|43
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Control|perf|23
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Total|perf|66
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Caso|answers|43
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Control|answers|23
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Total|answers|66
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Caso|perf|67
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Control|perf|16
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Total|perf|83
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Caso|answers|67
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Control|answers|16
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Total|answers|83
Hospital de Santiago de Compostela|Calidad Entrevista|PanGen-Eu|Caso|perf|2
Hospital de Santiago de Compostela|Calidad Entrevista|PanGen-Eu|Total|perf|2
Hospital de Santiago de Compostela|Calidad Entrevista|PanGen-Eu|Caso|answers|2
Hospital de Santiago de Compostela|Calidad Entrevista|PanGen-Eu|Total|answers|2
Hospital Clínico Universitario de Salamanca|Calidad Entrevista|PanGen-Eu|Caso|perf|15
Hospital Clínico Universitario de Salamanca|Calidad Entrevista|PanGen-Eu|Total|perf|15
Hospital Clínico Universitario de Salamanca|Calidad Entrevista|PanGen-Eu|Caso|answers|15
Hospital Clínico Universitario de Salamanca|Calidad Entrevista|PanGen-Eu|Total|answers|15
Hospital General Universitario de Elche|Calidad Entrevista|PanGen-Eu|Caso|perf|8
Hospital General Universitario de Elche|Calidad Entrevista|PanGen-Eu|Total|perf|8
Hospital General Universitario de Elche|Calidad Entrevista|PanGen-Eu|Caso|answers|8
Hospital General Universitario de Elche|Calidad Entrevista|PanGen-Eu|Total|answers|8
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Caso|perf|23
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Control|perf|13
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Total|perf|36
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Caso|answers|23
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Control|answers|13
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Total|answers|36
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Caso|perf|29
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Control|perf|28
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Total|perf|57
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Caso|answers|29
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Control|answers|28
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Total|answers|57
