Group|Questionnaire|Project|Type|Count
Hospital del Mar|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Caso|1
Hospital del Mar|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|1
Hospital 12 de Octubre|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Caso|1
Hospital 12 de Octubre|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|1
Hospital Clínico Universitario de Salamanca|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Sample?|2
Hospital Clínico Universitario de Salamanca|Aliquots_Antiguo_con Sección 0|PanGen-Eu|Total|2
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Sample?|248
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Caso|1
Hospital del Mar|Aliquots_SPAIN_old|ISBlaC|Total|249
Hospital del Mar|Aliquots_SP_New|PanGen-Eu|Caso|3
Hospital del Mar|Aliquots_SP_New|PanGen-Eu|Total|3
Hospital del Mar|Aliquots_SP_New|ISBlaC|Sample?|179
Hospital del Mar|Aliquots_SP_New|ISBlaC|Caso|140
Hospital del Mar|Aliquots_SP_New|ISBlaC|Total|319
Hospital Ramón y Cajal|Aliquots_SP_New|PanGen-Eu|Sample?|20
Hospital Ramón y Cajal|Aliquots_SP_New|PanGen-Eu|Total|20
Hospital Clínico Universitario de Salamanca|Aliquots_SP_New|PanGen-Eu|Sample?|38
Hospital Clínico Universitario de Salamanca|Aliquots_SP_New|PanGen-Eu|Total|38
Hospital General Universitario de Elche|Aliquots_SP_New|PanGen-Eu|Sample?|5
Hospital General Universitario de Elche|Aliquots_SP_New|PanGen-Eu|Total|5
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Caso|50
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Control|39
Hospital de la Santa Creu I San Pau|Calidad Entrevista|PanGen-Eu|Total|89
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Caso|62
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Control|27
Hospital Vall d´Hebron|Calidad Entrevista|PanGen-Eu|Total|89
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Caso|15
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Control|10
Instituto Universitario de Oncología del Principado de Asturias|Calidad Entrevista|PanGen-Eu|Total|25
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Caso|58
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Control|55
Hospital del Mar|Calidad Entrevista|PanGen-Eu|Total|113
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Caso|43
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Control|23
Hospital 12 de Octubre|Calidad Entrevista|PanGen-Eu|Total|66
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Caso|67
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Control|16
Hospital Ramón y Cajal|Calidad Entrevista|PanGen-Eu|Total|83
Hospital de Santiago de Compostela|Calidad Entrevista|PanGen-Eu|Caso|2
Hospital de Santiago de Compostela|Calidad Entrevista|PanGen-Eu|Total|2
Hospital Clínico Universitario de Salamanca|Calidad Entrevista|PanGen-Eu|Caso|15
Hospital Clínico Universitario de Salamanca|Calidad Entrevista|PanGen-Eu|Total|15
Hospital General Universitario de Elche|Calidad Entrevista|PanGen-Eu|Caso|8
Hospital General Universitario de Elche|Calidad Entrevista|PanGen-Eu|Total|8
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Caso|23
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Control|13
Hospital Madrid Norte Sanchinarro|Calidad Entrevista|PanGen-Eu|Total|36
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Caso|29
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Control|28
Hospital de la Santa Creu I San Pau|Dieta|PanGen-Eu|Total|57
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Caso|36
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Control|17
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Total|53
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Caso|13
